"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","GF/60","GA/60","GF%","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"","Daniel Catenacci","NYR","C","1","11.05","11.05","36.62","106.36","25.61","0","5.09","0.00","10.86","10.86","21.72","33.33"
"","Curtis Valk","FLA","C","1","2.15","2.15","110.25","106.28","50.92","0","0","0.00","83.72","0","0","100.00"
"","Alex Formenton","OTT","L","1","4.7166666666667","4.7166666666667","49.23","105.07","31.91","0","0","0.00","25.44","0","0","100.00"
"","Cal O'Reilly","MIN","C","1","6.1166666666667","6.1166666666667","38.93","102.79","27.47","0","0","0.00","29.43","29.43","9.81","75.00"
"","Nikita Soshnikov","TOR","R","3","28.516666666667","9.5055555555556","21.58","90.92","19.18","0","3.93","0.00","4.21","21.04","33.66","11.11"
"","Roland McKeown","CAR","D","3","31.483333333333","10.494444444444","68.54","89.17","43.46","3.58","2.04","63.72","24.78","15.25","15.25","61.90"
"","Kyle Capobianco","ARI","D","1","12.933333333333","12.933333333333","39.21","85.43","31.46","4.72","9.36","33.54","18.56","18.56","23.2","44.44"
"","Filip Chytil","NYR","C","2","12.65","6.325","42.72","85.03","33.44","0","9.49","0.00","37.94","14.23","4.74","88.89"
"","Rocco Grimaldi","COL","C","6","56.583333333333","9.4305555555556","46.89","83.74","35.89","4.24","5.43","43.84","11.66","25.45","22.27","34.38"
"","Andrew Crescenzi","L.A","C","2","12.316666666667","6.1583333333333","22.38","83.39","21.16","0","0","0.00","34.1","19.49","34.1","50.00"
"","Patrick Eaves","ANA","R","2","25.066666666667","12.533333333333","36.76","82.95","30.71","2.35","2.44","49.08","16.76","38.3","16.76","50.00"
"","Justin Auger","L.A","R","2","15.266666666667","7.6333333333333","35.79","82.46","30.27","0","3.62","0.00","19.65","23.58","19.65","50.00"
"","Nicolas Kerdiles","ANA","L","2","7.0666666666667","3.5333333333333","40.67","79.7","33.79","0","0","0.00","42.45","8.49","25.47","62.50"
"","Dean Kukan","CBJ","D","4","49.016666666667","12.254166666667","59.01","79.49","42.61","3.58","2.47","59.17","26.93","12.24","26.93","50.00"
"","Danick Martel","PHI","L","4","40.166666666667","10.041666666667","50.09","79.12","38.77","1.4","3.04","31.54","19.42","20.91","19.42","50.00"
"","Dennis Seidenberg","NYI","D","20","297.16666666667","14.858333333333","51.98","78.84","39.74","2.62","3.21","44.92","17.16","19.79","21","44.97"
"","Christoph Bertschy","MIN","C","1","4.6166666666667","4.6166666666667","27.24","78.42","25.78","12.76","0","100.00","0","13","13","0.00"
"","Wade Megan","STL","C","1","6.3333333333333","6.3333333333333","9.78","78.35","11.10","0","0","0.00","9.47","9.47","66.32","12.50"
"","Frederik Gauthier","TOR","C","9","63.883333333333","7.0981481481481","46.06","77.58","37.25","1.01","5.86","14.73","8.45","19.72","19.72","30.00"
"","Erik Burgdoerfer","OTT","D","1","10.383333333333","10.383333333333","28.21","77.55","26.67","0","0","0.00","5.78","11.56","5.78","50.00"
"","Tanner Fritz","NYI","C","11","111.03333333333","10.093939393939","43.6","77.54","35.99","0.55","5.44","9.19","19.45","22.16","20.53","48.65"
"","Steve Bernier","NYI","R","4","34.066666666667","8.5166666666667","37.88","76.65","33.07","0","3.52","0.00","24.66","12.33","19.37","56.00"
"","Tanner Glass","CGY","L","7","55.8","7.9714285714286","55.13","76.3","41.95","0","2.08","0.00","13.98","16.13","27.96","33.33"
"","Henrik Haapala","FLA","L","5","58.1","11.62","55.24","75.94","42.11","0.97","0.96","50.17","16.52","19.62","18.59","47.06"
"","Jussi Jokinen","CBJ","L","6","51.2","8.5333333333333","52","75.66","40.73","1.19","0","100.00","24.61","17.58","21.09","53.85"
"","Tyler Graovac","WSH","C","5","31.316666666667","6.2633333333333","28.03","75.62","27.05","0","5.53","0.00","7.66","28.74","21.08","26.67"
"","Nathan Walker","EDM","L","2","18.583333333333","9.2916666666667","60.36","75.5","44.43","0","0","0.00","12.91","22.6","12.91","50.00"
"","Martin Necas","CAR","C","1","6.1","6.1","79.33","75.07","51.38","0","0","0.00","19.67","29.51","0","100.00"
"","Paul Martin","S.J","D","3","39.916666666667","13.305555555556","48.6","74.16","39.59","0","6.35","0.00","19.54","25.55","15.03","56.52"
"","Adam Clendening","ARI","D","5","76.066666666667","15.213333333333","56.85","73.87","43.49","3.19","3.97","44.60","15.78","22.09","18.93","45.45"
"","Vadim Shipachyov","VGK","C","3","25.666666666667","8.5555555555556","63.15","73.7","46.14","6.68","0","100.00","23.38","9.35","16.36","58.82"
"","Tanner Kero","CHI","C","8","65.066666666667","8.1333333333333","59.92","73.16","45.02","3.63","1.74","67.59","19.36","24.9","23.98","44.68"
"","Logan Shaw","MTL","R","7","67.4","9.6285714285714","49.22","72.51","40.43","0.83","2.71","23.55","12.46","20.47","8.9","58.33"
"","Dion Phaneuf","OTT","D","49","750.55","15.317346938776","52.26","72.23","41.98","2.45","3.05","44.47","17.43","22.94","21.18","45.13"
"","Steven Kampfer","NYR","D","19","281.03333333333","14.791228070175","50.37","71.74","41.25","1.25","2.38","34.45","15.16","19.43","22.2","40.57"
"","Brett Lernout","MTL","D","3","41.866666666667","13.955555555556","49.77","71.67","40.98","0","1.34","0.00","18.63","10.03","12.9","59.09"
"","Radim Vrbata","FLA","R","35","379.01666666667","10.829047619048","53.59","71.44","42.86","2.18","3.52","38.24","16.94","29.13","24.06","41.31"
"","Giovanni Fiore","ANA","L","1","6.15","6.15","37.76","71.3","34.62","0","10.36","0.00","19.51","19.51","19.51","50.00"
"","Colin White","OTT","C","10","120.51666666667","12.051666666667","47.17","71.23","39.84","1.59","2","44.38","17.92","22.4","25.39","41.38"
"","Cody Ceci","OTT","D","51","927.45","18.185294117647","52.05","71.16","42.24","2.24","2.9","43.54","15.2","23.29","22.84","39.97"
"","Zach Parise","MIN","L","13","170.48333333333","13.114102564103","55.88","71.09","44.01","2.05","3.82","34.92","22.17","21.82","14.43","60.58"
"","Scott Wilson","PIT","L","3","22.9","7.6333333333333","73.05","71","50.71","0","5.29","0.00","18.34","18.34","20.96","46.67"
"","Sami Vatanen","ANA","D","15","218.85","14.59","51.29","70.72","42.04","2.46","3.38","42.09","16.72","24.67","23.03","42.07"
"","Alan Quine","NYI","C","21","228.71666666667","10.89126984127","47.12","70.36","40.11","2.14","2.38","47.26","15.22","20.2","17.84","46.03"
"","Matt Bartkowski","CGY","D","14","154.51666666667","11.036904761905","51.48","70.25","42.29","1.57","2.78","36.15","15.92","22.52","18.25","46.59"
"","Tom Pyatt","OTT","L","51","583.05","11.432352941176","50.94","70.21","42.04","1.84","2.79","39.71","15.02","27.78","24.18","38.32"
"","Shane Prince","NYI","L","12","129.1","10.758333333333","44.8","70.04","39.01","0.95","2.34","29.01","20.91","17.2","16.73","55.56"
"","Chris Stewart","MIN","R","45","442.08333333333","9.8240740740741","47.2","70.01","40.27","2.62","2.79","48.47","18.46","20.77","17.24","51.71"
"","Vinni Lettieri","NYR","C","11","122.03333333333","11.093939393939","50.01","69.51","41.84","2.09","4.27","32.83","13.28","20.16","16.72","44.26"
"","Owen Tippett","FLA","R","7","64.116666666667","9.1595238095238","50.43","69.37","42.09","0.92","5.77","13.74","14.04","24.33","16.84","45.45"
"","Jaycob Megna","ANA","D","14","180.98333333333","12.927380952381","58.14","69.16","45.67","1.97","3.26","37.72","17.9","20.55","21.55","45.38"
"","Nikolay Goldobin","VAN","R","14","147.31666666667","10.522619047619","54.7","69.08","44.19","2","5.13","28.09","23.62","20.36","12.63","65.17"
"","Joel Hanley","ARI","D","4","41.4","10.35","57.12","69.06","45.27","4.36","2.72","61.59","18.84","15.94","10.14","65.00"
"","Max McCormick","OTT","L","3","16.683333333333","5.5611111111111","18.89","68.68","21.57","0","3.82","0.00","14.39","10.79","17.98","44.44"
"","Zack Smith","OTT","L","37","475.36666666667","12.847747747748","56.68","68.67","45.22","1.31","3.81","25.60","17.17","24.49","19.19","47.22"
"","Jason Chimera","NYI","L","54","564.6","10.455555555556","52.37","68.45","43.35","1.79","2.78","39.15","14.77","23.8","25.19","36.97"
"","Jean-Gabriel Pageau","OTT","C","47","589","12.531914893617","53.24","68.12","43.87","1.7","2.56","40.00","16.3","24.65","24.14","40.30"
"","Zack Mitchell","MIN","R","21","196.78333333333","9.3706349206349","37.94","68.12","35.77","2.15","2.05","51.17","19.21","21.65","15.86","54.78"
"","Dylan Strome","ARI","C","11","116.95","10.631818181818","57.06","68.1","45.59","1.04","1.02","50.33","27.19","18.98","16.93","61.63"
"","Cal Clutterbuck","NYI","R","49","495.03333333333","10.102721088435","49.55","67.88","42.20","2.76","2.83","49.36","12.73","26.91","31.76","28.61"
"","Alex Goligoski","ARI","D","51","941.66666666667","18.464052287582","54.08","67.61","44.44","1.69","2.91","36.70","15.55","20.2","21.85","41.57"
"","Sebastian Aho","NYI","D","12","184.15","15.345833333333","55.23","67.6","44.96","3.61","4.29","45.67","14.66","19.22","19.55","42.86"
"","Jacob Josefson","BUF","C","21","186.43333333333","8.8777777777778","39","67.21","36.72","1.57","1.34","53.93","11.91","23.49","30.57","28.03"
"","Kyle Quincey","MIN","D","18","201.5","11.194444444444","46.64","66.92","41.07","1.45","3.53","29.18","16.67","18.46","19.95","45.53"
"","Devante Smith-Pelly","WSH","R","48","540.1","11.252083333333","53.99","66.92","44.65","2.43","2.49","49.37","14.22","20.33","18","44.14"
"","Michael Grabner","NYR","R","52","612.93333333333","11.787179487179","52.97","66.9","44.19","2.52","1.98","56.07","16.15","22.12","22.03","42.31"
"","Alex Galchenyuk","MTL","L","53","640.16666666667","12.078616352201","58.76","66.88","46.77","1.41","2.56","35.58","21.74","19.03","15","59.18"
"","Luke Schenn","ARI","D","50","679.05","13.581","55.37","66.83","45.31","1.13","2.2","33.95","15.11","18.73","21.47","41.30"
"","Mike Cammalleri","L.A","C, L","15","145.03333333333","9.6688888888889","52.12","66.82","43.82","2.5","2.07","54.67","19.03","17.79","23.17","45.10"
"","Max Domi","ARI","L","52","688.9","13.248076923077","58.14","66.81","46.53","2.16","3.39","38.97","22.91","22.99","20.21","53.13"
"","Luca Sbisa","VGK","D","24","375.33333333333","15.638888888889","54.99","66.8","45.15","2.52","2.02","55.56","14.39","24.78","21.74","39.82"
"","Ben Harpur","OTT","D","20","248.06666666667","12.403333333333","53.75","66.76","44.60","1.71","2.85","37.41","17.17","22.25","24.91","40.80"
"","Nicholas Merkley","ARI","R","1","10.816666666667","10.816666666667","22.81","66.73","25.47","0","0","0.00","11.09","11.09","33.28","25.00"
"","Kevin Connauton","ARI","D","44","577.91666666667","13.13446969697","54.47","66.7","44.95","1.72","2.44","41.30","14.33","18.9","20.14","41.57"
"","Landon Ferraro","MIN","C","2","8.0666666666667","4.0333333333333","44.75","66.59","40.20","7.3","0","100.00","14.88","7.44","14.88","50.00"
"","Dennis Rasmussen","ANA","C","27","202.13333333333","7.4864197530864","48.51","66.58","42.15","2.33","1.51","60.72","15.14","15.14","20.18","42.86"
"","Joe Morrow","MTL","D","30","444.83333333333","14.827777777778","59.83","66.56","47.34","1.23","1.76","41.18","21.45","21.04","15.51","58.03"
