"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Vladislav Kamenev","COL","C","1","4.1","3.18","0","100.00","2.1","0","100.00","1.03","0","100.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","2","2","0.00"
"","Janne Kuokkanen","CAR","C","4","42.433333333333","55.66","26.86","67.45","46.14","20.74","68.99","29.93","12.37","70.75","0","3.16","0.00","27.45","10.63","72.09","11.18","3.27","77.39","0","1.08","0.00","0.00","74.48","0.745","18","17","11","62.07"
"","Paul LaDue","L.A","D","4","52.55","70.39","34.78","66.93","45","25.68","63.67","30.56","15.06","66.98","3.95","0.94","80.80","37.47","14","72.79","11.5","5.77","66.58","1.92","0.93","67.39","12.92","93.77","1.067","23","13","10","69.70"
"","Justin Holl","TOR","D","2","32.183333333333","54.87","29.35","65.15","39.52","21.89","64.35","30.74","15.72","66.16","5.07","0","100.00","29.41","15.76","65.11","12.73","7.55","62.77","3","0","100.00","16.48","100.00","1.165","8","6","12","40.00"
"","Adam Erne","T.B","L","1","10.25","10.53","5.73","64.79","8.39","4.84","63.43","6.23","3.93","61.31","0.98","0","100.00","5.25","4.87","51.84","0","0","0.00","0","0","0.00","15.76","100.00","1.158","9","5","1","90.00"
"","Daniel Sprong","PIT","R","8","100.38333333333","114.78","67.34","63.02","88.08","39.89","68.83","60.36","29.63","67.08","5.08","3.14","61.80","73.46","26.88","73.22","23.02","4.2","84.57","3.09","1.02","75.29","8.42","89.39","0.978","34","38","35","49.28"
"","Stefan Matteau","VGK","C","5","38.9","51.13","30.08","62.96","37.52","21.24","63.85","25.48","16.26","61.04","1.02","0","100.00","26.46","14.39","64.77","10","6.26","61.48","0","0","0.00","4.00","100.00","1.040","20","6","14","58.82"
"","Joe Hicketts","DET","D","1","10.4","18.6","11.49","61.81","15.15","9.88","60.52","10.76","8.13","56.97","1.06","0","100.00","6.45","6.14","51.24","1.07","2.65","28.74","1.07","0","100.00","9.87","100.00","1.099","5","3","0","100.00"
"","David Warsofsky","COL","D","1","15.033333333333","17.1","11.24","60.33","13.49","7.13","65.41","9.67","6.11","61.28","0","0","0.00","6.93","4.93","58.42","1","0","100.00","0","0","0.00","0.00","100.00","1.000","6","3","1","85.71"
"","Curtis McKenzie","DAL","L","4","29.7","32.43","21.57","60.05","26.12","16.6","61.15","19.68","13.8","58.79","2.12","0","100.00","20.08","12.02","62.55","10.78","3.07","77.85","2.18","0","100.00","10.76","100.00","1.108","5","14","5","50.00"
"","J.T. Brown","ANA","R","11","102.86666666667","115.67","77.25","59.96","94.03","65.58","58.91","66.82","41.31","61.80","2.89","1.92","60.12","53.26","33.61","61.31","26.74","10.09","72.61","1.03","0","100.00","4.33","95.35","0.997","30","31","27","52.63"
