"Player","Season","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"5EBASTIAN.AHO","2017-2018","NYI","D",12,182.03,164,206,-42,44.32,54.06,67.9,120,168,-48,41.67,39.55,55.38,91,121,-30,42.92,30,39.88,10,13,-3,43.48,3.3,4.29,6.42,9.76,-3.34,39.68,2.12,3.22,6,6,0,1.98,1.98,10.99,89.26,8.33,92.26,5.35,94.19,2.98,-1.93,100.25,99.54,0.7
"AARON.EKBLAD","2017-2018","FLA","D",50,868.95,825,905,-80,47.69,56.97,62.49,645,715,-70,47.43,44.54,49.37,465,519,-54,47.26,32.11,35.84,35,40,-5,46.67,2.42,2.76,31.63,39.31,-7.68,44.59,2.18,2.71,61,64,3,4.21,4.42,7.53,92.29,5.43,94.41,4.9,94.5,0.52,-0.1,99.82,99.41,0.41
"AARON.NESS","2017-2018","WSH","D",8,94.15,74,102,-28,42.05,47.16,65,60,82,-22,42.25,38.24,52.26,45,58,-13,43.69,28.68,36.96,6,4,2,60,3.82,2.55,3.22,4,-0.78,44.6,2.05,2.55,11,4,-7,7.01,2.55,13.33,93.1,10,95.12,5.37,95.12,4.63,0,106.44,100.49,5.95
"ADAM.CLENDENING","2017-2018","ARI","D",5,76.33,74,89,-15,45.4,58.17,69.96,57,66,-9,46.34,44.81,51.88,42,47,-5,47.19,33.01,36.94,4,5,-1,44.44,3.14,3.93,2.86,5.11,-2.25,35.88,2.25,4.02,5,6,1,3.93,4.72,9.52,89.36,7.02,92.42,5.02,92.26,2,0.17,98.89,97.28,1.61
"ADAM.HENRIQUE","2017-2018","N.J/ANA","C",53,656.6,606,649,-43,48.29,55.38,59.31,458,481,-23,48.78,41.85,43.95,325,352,-27,48.01,29.7,32.17,22,20,2,52.38,2.01,1.83,25.7,27.73,-2.03,48.1,2.35,2.53,42,35,-7,3.84,3.2,6.77,94.32,4.8,95.84,5.61,94.23,-0.81,1.61,101.09,99.85,1.24
"ADAM.LARSSON","2017-2018","EDM","D",40,729.4,731,689,42,51.48,60.13,56.68,537,508,29,51.39,44.17,41.79,390,385,5,50.32,32.08,31.67,21,31,-10,40.38,1.73,2.55,32.57,29.28,3.29,52.66,2.68,2.41,52,35,-17,4.28,2.88,5.38,91.95,3.91,93.9,6.07,94.24,-2.15,-0.34,97.33,100.3,-2.97
"ADAM.LOWRY","2017-2018","WPG","L",35,429.42,423,320,103,56.93,59.1,44.71,319,219,100,59.29,44.57,30.6,227,149,78,60.37,31.72,20.82,16,14,2,53.33,2.24,1.96,17.19,10.22,6.97,62.71,2.4,1.43,25,27,2,3.49,3.77,7.05,90.6,5.02,93.61,5.39,95.33,-0.37,-1.73,97.65,100.72,-3.07
"ADAM.MCQUAID","2017-2018","BOS","D",14,195.7,190,181,9,51.21,58.25,55.49,141,140,1,50.18,43.23,42.92,98,92,6,51.58,30.05,28.21,2,6,-4,25,0.61,1.84,5.66,7.29,-1.63,43.71,1.74,2.24,12,12,0,3.68,3.68,2.04,93.48,1.42,95.71,4.01,94.79,-2.6,0.92,95.52,98.81,-3.29
"ADAM.PELECH","2017-2018","NYI","D",50,803.7,763,828,-65,47.96,56.96,61.81,552,624,-72,46.94,41.21,46.58,409,459,-50,47.12,30.53,34.27,39,33,6,54.17,2.91,2.46,35.19,34.45,0.74,50.53,2.63,2.57,49,49,0,3.66,3.66,9.54,92.81,7.07,94.71,6.38,94.48,0.69,0.23,102.35,100.85,1.49
"ADRIAN.KEMPE","2017-2018","L.A","L",51,592.9,559,601,-42,48.19,56.57,60.82,416,476,-60,46.64,42.1,48.17,279,329,-50,45.89,28.23,33.29,32,17,15,65.31,3.24,1.72,22.88,28.75,-5.87,44.32,2.32,2.91,43,41,-2,4.35,4.15,11.47,94.83,7.69,96.43,5.5,93.96,2.19,2.47,106.3,99.46,6.84
